country,biennial_assessment_invoiced_2020_usd,biennial_assessment_invoiced_2020_chf,biennial_assessment_collected_or_adjusted_2020_usd,biennial_assessment_collected_or_adjusted_2020_chf,biennial_assessment_balance_outstanding_usd_(A),biennial_assessment_balance_outstanding_chf_(A),balance_for_prior_years_as_at_31_dec_19_usd,prior_financial_periods_balance_for_prior_years_as_at_31_dec_19_chf,prior_financial_periods_collected_or_adjusted_during_current_biennial_usd,prior_financial_periods_collected_or_adjusted_during_current_biennial_chf,prior_financial_periods_balance_outstanding_usd_(B),prior_financial_periods_balance_outstanding_chf_(B),rescheduled_assessment_rescheduled_assessment_usd,rescheduled_assessment_collected_or_adjusted_2020-2021_usd,rescheduled_assessment_collected_or_adjusted_from_prior_years_as_at_31_dec_19_usd,rescheduled_assessment_balance_outstanding_(C),total_outstanding_usd_(A)+(B)+(C),total_outstanding_chf_(A)+(B)+(C)
Eritrea,4790,0,0,0,4790,0,4780,0,0,0,4780,0,0,0,0,0,9570,0
Estonia,186610,0,186610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,9570,0,4259,0,5311,0,24171,0,24171,0,0,0,0,0,0,0,5311,0
Ethiopia,47850,0,37710,0,10140,0,0,0,0,0,0,0,0,0,0,0,10140,0
Fiji,14360,0,0,0,14360,0,0,0,0,0,0,0,0,0,0,0,14360,0
Finland,1007170,1028321,0,0,1007170,1028321,0,0,0,0,0,0,0,0,0,0,1007170,1028321
France,10590840,10813248,10590840,10813248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,71770,0,0,0,71770,0,159754,0,0,0,159754,0,0,0,0,0,231524,0
Gambia,4790,0,0,0,4790,0,23510,0,0,0,23510,0,0,0,0,0,28300,0
Georgia,38280,0,0,0,38280,0,0,0,0,0,0,0,4259145,0,3815242,443903,482183,0
Germany,14569280,14875235,0,14875235,14569280,0,0,0,0,0,0,0,0,0,0,0,14569280,0
Ghana,71770,0,0,0,71770,0,79638,0,0,0,79638,0,0,0,0,0,151408,0
Greece,875595,893983,0,0,875595,893983,0,0,0,0,0,0,0,0,0,0,875595,893983
Grenada,4790,0,0,0,4790,0,4780,0,0,0,4780,0,0,0,0,0,9570,0
Guatemala,172250,0,140,0,172110,0,0,0,0,0,0,0,0,0,0,0,172110,0
Guinea,14360,0,13384,0,976,0,0,0,0,0,0,0,0,0,0,0,976,0
Guinea0Bissau,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Guyana,9570,0,0,0,9570,0,16603,0,0,0,16603,0,0,0,0,0,26173,0
Haiti,14360,0,14360,0,0,0,28700,0,28700,0,0,0,0,0,0,0,0,0
Honduras,43060,0,1812,0,41248,0,0,0,0,0,0,0,0,0,0,0,41248,0
